Time	(10) Hip Flx Ib	(11) Knee Ext Ib	(12) Knee Flx Ib	(13) Ankle Ext Ib	(14) Ankle Flx Ib	(9) Hip Ext Ib	
4.156	-0.05333941	-0.04596705	-0.04	-0.045977	-0.04	-0.05977144	
4.1562	-0.05334687	-0.04595986	-0.04	-0.0459698	-0.04	-0.05977155	
4.1564	-0.05335405	-0.04595296	-0.04	-0.04596288	-0.04	-0.05977165	
4.1566	-0.05336094	-0.04594632	-0.04	-0.04595624	-0.04	-0.05977174	
4.1568	-0.05336838	-0.04593915	-0.04	-0.04594906	-0.04	-0.05977185	
4.157	-0.05337553	-0.04593227	-0.04	-0.04594216	-0.04	-0.05977195	
4.1572	-0.0533824	-0.04592566	-0.04	-0.04593553	-0.04	-0.05977204	
4.1574	-0.05338981	-0.04591852	-0.04	-0.04592838	-0.04	-0.05977215	
4.1576	-0.05339694	-0.04591165	-0.04	-0.0459215	-0.04	-0.05977225	
4.1578	-0.05340378	-0.04590506	-0.04	-0.0459149	-0.04	-0.05977234	
4.158	-0.05341117	-0.04589794	-0.04	-0.04590777	-0.04	-0.05977245	
4.1582	-0.05341828	-0.04589111	-0.04	-0.04590091	-0.04	-0.05977254	
4.1584	-0.0534251	-0.04588453	-0.04	-0.04589433	-0.04	-0.05977264	
4.1586	-0.05343247	-0.04587744	-0.04	-0.04588722	-0.04	-0.05977274	
4.1588	-0.05343955	-0.04587062	-0.04	-0.0458804	-0.04	-0.05977284	
4.159	-0.05344635	-0.04586407	-0.04	-0.04587384	-0.04	-0.05977294	
4.1592	-0.05345369	-0.045857	-0.04	-0.04586675	-0.04	-0.05977304	
4.1594	-0.05346075	-0.04585021	-0.04	-0.04585994	-0.04	-0.05977314	
4.1596	-0.05346752	-0.04584368	-0.04	-0.04585341	-0.04	-0.05977323	
4.1598	-0.05347484	-0.04583663	-0.04	-0.04584634	-0.04	-0.05977334	
4.16	-0.05348188	-0.04582986	-0.04	-0.04583956	-0.04	-0.05977343	
