Time	(5) Hip Bistable 1	(6) Knee Bistable 1	(7) Hip Bistable 2	(8) Knee Bistable 2	
9.051	-0.04000002	-0.06004856	-0.06001001	-0.03999824	
9.0512	-0.04000002	-0.06004847	-0.06001001	-0.03999824	
9.0514	-0.04000002	-0.06004838	-0.06001001	-0.03999825	
9.0516	-0.04000002	-0.06004829	-0.06001001	-0.03999826	
9.0518	-0.04000002	-0.0600482	-0.06001001	-0.03999827	
9.052	-0.04000002	-0.06004812	-0.06001001	-0.03999827	
9.052199	-0.04000002	-0.06004803	-0.06001001	-0.03999828	
9.0524	-0.04000002	-0.06004794	-0.06001001	-0.03999829	
9.0526	-0.04000002	-0.06004785	-0.06001001	-0.0399983	
9.0528	-0.04000002	-0.06004776	-0.06001001	-0.0399983	
9.052999	-0.04000002	-0.06004768	-0.06001001	-0.03999831	
9.0532	-0.04000002	-0.06004759	-0.06001001	-0.03999832	
9.0534	-0.04000002	-0.0600475	-0.06001001	-0.03999832	
9.053599	-0.04000002	-0.06004741	-0.06001001	-0.03999833	
9.0538	-0.04000002	-0.06004733	-0.06001001	-0.03999834	
9.054	-0.04000002	-0.06004724	-0.06001001	-0.03999835	
9.0542	-0.04000002	-0.06004716	-0.06001001	-0.03999835	
9.054399	-0.04000002	-0.06004707	-0.06001001	-0.03999836	
9.0546	-0.04000002	-0.06004699	-0.06001001	-0.03999836	
9.0548	-0.04000002	-0.0600469	-0.06001001	-0.03999837	
9.054999	-0.04000002	-0.06004681	-0.06001001	-0.03999838	
9.0552	-0.04000002	-0.06004673	-0.06001001	-0.03999839	
9.0554	-0.04000002	-0.06004664	-0.06001001	-0.03999839	
9.0556	-0.04000002	-0.06004656	-0.06001001	-0.0399984	
9.055799	-0.04000002	-0.06004647	-0.06001001	-0.0399984	
9.056	-0.04000002	-0.06004639	-0.06001001	-0.03999841	
9.0562	-0.04000002	-0.0600463	-0.06001001	-0.03999842	
9.056399	-0.04000002	-0.06004622	-0.06001001	-0.03999842	
9.0566	-0.04000002	-0.06004614	-0.06001001	-0.03999843	
9.0568	-0.04000002	-0.06004605	-0.06001001	-0.03999844	
9.057	-0.04000002	-0.06004597	-0.06001001	-0.03999845	
9.057199	-0.04000002	-0.06004589	-0.06001001	-0.03999845	
9.0574	-0.04000002	-0.0600458	-0.06001001	-0.03999846	
9.0576	-0.04000002	-0.06004572	-0.06001001	-0.03999846	
9.057799	-0.04000002	-0.06004564	-0.06001001	-0.03999847	
9.058	-0.04000002	-0.06004556	-0.06001001	-0.03999848	
9.0582	-0.04000002	-0.06004547	-0.06001001	-0.03999848	
9.0584	-0.04000002	-0.06004539	-0.06001001	-0.03999849	
9.058599	-0.04000002	-0.06004531	-0.06001001	-0.03999849	
9.0588	-0.04000002	-0.06004522	-0.06001001	-0.0399985	
9.059	-0.04000002	-0.06004515	-0.06001001	-0.03999851	
9.059199	-0.04000002	-0.06004506	-0.06001001	-0.03999851	
9.0594	-0.04000002	-0.06004498	-0.06001001	-0.03999852	
9.0596	-0.04000002	-0.0600449	-0.06001001	-0.03999853	
9.0598	-0.04000002	-0.06004482	-0.06001001	-0.03999853	
9.059999	-0.04000002	-0.06004474	-0.06001001	-0.03999854	
9.0602	-0.04000002	-0.06004466	-0.06001001	-0.03999854	
9.0604	-0.04000002	-0.06004458	-0.06001001	-0.03999855	
9.060599	-0.04000002	-0.0600445	-0.06001001	-0.03999856	
9.0608	-0.04000002	-0.06004442	-0.06001001	-0.03999856	
9.061	-0.04000002	-0.06004434	-0.06001001	-0.03999857	
9.0612	-0.04000002	-0.06004426	-0.06001001	-0.03999857	
9.061399	-0.04000002	-0.06004418	-0.06001001	-0.03999858	
9.0616	-0.04000002	-0.0600441	-0.06001001	-0.03999859	
9.0618	-0.04000002	-0.06004402	-0.06001001	-0.03999859	
9.061999	-0.04000002	-0.06004394	-0.06001001	-0.0399986	
9.0622	-0.04000002	-0.06004386	-0.06001001	-0.0399986	
9.0624	-0.04000002	-0.06004379	-0.06001001	-0.03999861	
9.0626	-0.04000002	-0.06004371	-0.06001001	-0.03999861	
9.062799	-0.04000002	-0.06004363	-0.06001001	-0.03999862	
9.063	-0.04000002	-0.06004355	-0.06001001	-0.03999863	
9.0632	-0.04000002	-0.06004347	-0.06001001	-0.03999863	
9.063399	-0.04000002	-0.06004339	-0.06001001	-0.03999864	
9.0636	-0.04000002	-0.06004332	-0.06001001	-0.03999864	
9.0638	-0.04000002	-0.06004324	-0.06001001	-0.03999865	
9.064	-0.04000002	-0.06004316	-0.06001001	-0.03999865	
9.064199	-0.04000002	-0.06004309	-0.06001001	-0.03999866	
9.0644	-0.04000002	-0.06004301	-0.06001001	-0.03999867	
9.0646	-0.04000002	-0.06004293	-0.06001001	-0.03999867	
9.064799	-0.04000002	-0.06004286	-0.06001001	-0.03999868	
9.065	-0.04000002	-0.06004278	-0.06001001	-0.03999868	
9.0652	-0.04000002	-0.06004271	-0.06001001	-0.03999869	
9.0654	-0.04000002	-0.06004263	-0.06001001	-0.03999869	
9.065599	-0.04000002	-0.06004255	-0.06001001	-0.0399987	
9.0658	-0.04000002	-0.06004248	-0.06001001	-0.0399987	
9.066	-0.04000002	-0.0600424	-0.06001001	-0.03999871	
9.066199	-0.04000002	-0.06004233	-0.06001001	-0.03999871	
9.0664	-0.04000002	-0.06004225	-0.06001001	-0.03999872	
9.0666	-0.04000002	-0.06004218	-0.06001001	-0.03999873	
9.0668	-0.04000002	-0.0600421	-0.06001001	-0.03999873	
9.066999	-0.04000002	-0.06004203	-0.06001001	-0.03999874	
9.0672	-0.04000002	-0.06004195	-0.06001001	-0.03999874	
9.0674	-0.04000002	-0.06004188	-0.06001001	-0.03999875	
9.067599	-0.04000002	-0.06004181	-0.06001001	-0.03999875	
9.0678	-0.04000002	-0.06004173	-0.06001001	-0.03999876	
9.068	-0.04000002	-0.06004166	-0.06001001	-0.03999876	
9.0682	-0.04000002	-0.06004159	-0.06001001	-0.03999877	
9.068399	-0.04000002	-0.06004151	-0.06001001	-0.03999877	
9.0686	-0.04000002	-0.06004144	-0.06001001	-0.03999878	
9.0688	-0.04000002	-0.06004137	-0.06001001	-0.03999878	
9.069	-0.04000002	-0.06004129	-0.06001001	-0.03999879	
9.0692	-0.04000002	-0.06004122	-0.06001001	-0.03999879	
9.0694	-0.04000002	-0.06004115	-0.06001001	-0.0399988	
9.0696	-0.04000002	-0.06004108	-0.06001001	-0.0399988	
9.069799	-0.04000002	-0.06004101	-0.06001001	-0.03999881	
9.07	-0.04000002	-0.06004093	-0.06001001	-0.03999881	
9.0702	-0.04000002	-0.06004086	-0.06001001	-0.03999882	
9.0704	-0.04000002	-0.06004079	-0.06001001	-0.03999882	
9.0706	-0.04000002	-0.06004072	-0.06001001	-0.03999883	
9.0708	-0.04000002	-0.06004065	-0.06001001	-0.03999883	
