Time	(21) S1i	(22) S2i	(23) S3i	(24) S4i	
0.074	-0.06002982	-0.06000417	-0.05997019	-0.05999583	
0.0742	-0.06002986	-0.06000417	-0.05997014	-0.05999583	
0.0744	-0.06002991	-0.06000418	-0.05997009	-0.05999582	
0.0746	-0.06002996	-0.06000419	-0.05997004	-0.05999582	
0.0748	-0.06003001	-0.06000419	-0.05997	-0.05999581	
0.075	-0.06003005	-0.0600042	-0.05996995	-0.0599958	
0.0752	-0.06003009	-0.0600042	-0.05996991	-0.0599958	
0.07539999	-0.06003014	-0.0600042	-0.05996986	-0.0599958	
0.0756	-0.06003017	-0.06000421	-0.05996982	-0.05999579	
0.0758	-0.06003021	-0.06000421	-0.05996979	-0.05999579	
0.076	-0.06003025	-0.06000422	-0.05996975	-0.05999579	
0.0762	-0.06003029	-0.06000422	-0.05996971	-0.05999578	
0.0764	-0.06003032	-0.06000422	-0.05996968	-0.05999578	
0.0766	-0.06003036	-0.06000423	-0.05996964	-0.05999577	
0.0768	-0.06003039	-0.06000423	-0.05996962	-0.05999577	
0.077	-0.06003042	-0.06000423	-0.05996959	-0.05999577	
0.0772	-0.06003045	-0.06000423	-0.05996956	-0.05999577	
0.0774	-0.06003047	-0.06000423	-0.05996953	-0.05999576	
0.07759999	-0.0600305	-0.06000424	-0.0599695	-0.05999576	
0.0778	-0.06003052	-0.06000424	-0.05996948	-0.05999576	
0.078	-0.06003054	-0.06000424	-0.05996946	-0.05999576	
0.0782	-0.06003056	-0.06000424	-0.05996944	-0.05999576	
0.0784	-0.06003058	-0.06000424	-0.05996942	-0.05999576	
0.0786	-0.0600306	-0.06000424	-0.0599694	-0.05999576	
0.0788	-0.06003062	-0.06000424	-0.05996938	-0.05999576	
0.079	-0.06003063	-0.06000424	-0.05996937	-0.05999576	
0.0792	-0.06003064	-0.06000424	-0.05996936	-0.05999576	
0.0794	-0.06003065	-0.06000424	-0.05996935	-0.05999576	
0.0796	-0.06003066	-0.06000424	-0.05996934	-0.05999576	
0.07979999	-0.06003067	-0.06000424	-0.05996933	-0.05999576	
0.08	-0.06003067	-0.06000424	-0.05996932	-0.05999576	
0.0802	-0.06003068	-0.06000424	-0.05996932	-0.05999576	
0.0804	-0.06003068	-0.06000424	-0.05996932	-0.05999576	
0.0806	-0.06003068	-0.06000423	-0.05996932	-0.05999576	
0.0808	-0.06003068	-0.06000423	-0.05996932	-0.05999577	
0.081	-0.06003067	-0.06000423	-0.05996932	-0.05999577	
0.0812	-0.06003067	-0.06000423	-0.05996933	-0.05999577	
0.0814	-0.06003066	-0.06000423	-0.05996934	-0.05999577	
0.0816	-0.06003065	-0.06000422	-0.05996935	-0.05999578	
0.0818	-0.06003064	-0.06000422	-0.05996936	-0.05999578	
0.08199999	-0.06003063	-0.06000422	-0.05996937	-0.05999579	
0.0822	-0.06003061	-0.06000421	-0.05996939	-0.05999579	
0.0824	-0.06003059	-0.0600042	-0.0599694	-0.05999579	
